PDS,PSG,DRI,T_TFC_ACC,DATE,SOA_FATAL,SOA_SERIOUS,SOA_SLIGHT,VCT_VEHICLE,VCT_PDS,VCT_OBJ,VCT_NONCOL,NO_ISSUE_WARN_8_14PT,NO_ISSUE_SINCE_1984,NO_SUMMON_15PT_MORE,NO_SUMMON_SINCE_1984,NO_DRI_INCUR_PT_5YR,NO_VALID_LIC_TYPE1,NO_VALID_LIC_TYPE2,NO_VALID_LIC_TYPE3,NO_VALID_LIC_TYPE4,NO_NOVER_3YR_EXP_LIC_TYPE1,NO_NOVER_3YR_EXP_LIC_TYPE2,NO_NOVER_3YR_EXP_LIC_TYPE3,NO_OVER_3YR_EXP_LIC_TYPE1,NO_OVER_3YR_EXP_LIC_TYPE2,NO_OVER_3YR_EXP_LIC_TYPE3,ACCIDENT_RATE
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,0.10474502854892695
238,544,668,1151,2013-02-01,6,192,953,457,222,115,357,3548,1096324,173,102753,500072,1948970.0,1466.0,36587.0,80846.0,95038.0,470.0,96248.0,647014.0,4318.0,38299.0,0.12880496054114995
309,611,771,1296,2013-03-01,9,202,1085,513,277,129,377,4128,1100452,194,102947,501473,1955697.0,1466.0,36303.0,82059.0,88190.0,468.0,99015.0,652866.0,4326.0,38743.0,0.12427325581395349
302,503,762,1247,2013-04-01,8,198,1041,482,260,152,353,3385,1103837,159,103106,501629,1962231.0,1468.0,36490.0,83151.0,84759.0,462.0,100566.0,655360.0,4331.0,39713.0,0.14239290989660267
320,680,775,1339,2013-05-01,10,187,1142,527,300,134,378,5027,1108864,242,103348,503167,1968469.0,1458.0,36647.0,83856.0,81531.0,458.0,102025.0,658029.0,4339.0,41158.0,0.10483389695643525
337,655,856,1430,2013-06-01,8,228,1194,605,299,141,385,3970,1112834,178,103526,504999,1973983.0,1469.0,37181.0,84930.0,78959.0,446.0,102782.0,660354.0,4342.0,42929.0,0.15239294710327456
321,600,922,1425,2013-07-01,14,219,1192,606,285,180,354,4688,1117522,247,103773,505412,1980526.0,1475.0,37778.0,87639.0,76429.0,437.0,103588.0,662571.0,4350.0,45075.0,0.12926621160409557
278,608,866,1343,2013-08-01,12,213,1118,594,255,214,280,3738,1121260,182,103955,506126,1986781.0,1467.0,37684.0,88372.0,74162.0,439.0,104905.0,664805.0,4356.0,47110.0,0.15890850722311398
332,600,818,1391,2013-09-01,13,218,1160,568,298,162,363,3451,1124711,197,104152,506573,1992751.0,1462.0,38086.0,89961.0,72384.0,434.0,105291.0,666637.0,4361.0,49466.0,0.16458997392060273
307,557,818,1364,2013-10-01,14,212,1138,505,288,234,337,4834,1129545,218,104370,507275,1998797.0,1456.0,38876.0,92287.0,70427.0,437.0,105543.0,668438.0,4366.0,51922.0,0.10446834919321472
321,636,823,1375,2013-11-01,15,191,1169,549,288,255,283,4052,1133597,207,104577,508249,2004942.0,1453.0,39757.0,93362.0,68683.0,430.0,106620.0,670183.0,4375.0,54096.0,0.13548864758144127
307,663,812,1385,2013-12-01,12,188,1185,581,270,215,319,4663,1138260,223,104800,508434,2010715.0,1452.0,40559.0,95250.0,66960.0,422.0,107019.0,672029.0,4376.0,56712.0,0.12459789834870255
333,655,779,1377,2014-01-01,8,224,1145,529,304,99,445,4432,1142692,213,105013,510228,2016921.0,1462.0,41960.0,95890.0,65116.0,408.0,107282.0,673938.0,4382.0,59239.0,0.11935920577617329
237,484,596,1062,2014-02-01,4,176,882,415,219,59,369,4098,1146790,193,105206,511975,2021438.0,1475.0,43175.0,97754.0,63388.0,386.0,107078.0,676028.0,4392.0,61697.0,0.10126891166422645
264,527,743,1239,2014-03-01,7,203,1029,522,238,97,382,4576,1151366,206,105412,514945,2026814.0,1476.0,44126.0,98204.0,62161.0,379.0,106962.0,678068.0,4398.0,64766.0,0.11407342657342658
285,492,843,1322,2014-04-01,7,209,1106,546,266,83,427,4116,1155482,210,105622,515083,2031918.0,1473.0,45210.0,98313.0,61599.0,376.0,107300.0,679320.0,4401.0,67151.0,0.1326530612244898
316,601,818,1345,2014-05-01,4,202,1139,584,299,88,374,3685,1159167,187,105809,515888,2037360.0,1465.0,45802.0,98027.0,60800.0,379.0,107388.0,680834.0,4408.0,70098.0,0.15848032564450476
300,536,857,1353,2014-06-01,9,245,1099,596,281,70,406,3581,1162748,166,105975,516831,2042920.0,1463.0,46541.0,98781.0,60549.0,376.0,107694.0,682117.0,4415.0,72808.0,0.16643395699525274
286,563,900,1383,2014-07-01,4,199,1180,616,267,77,423,4497,1167245,221,106196,517713,2049177.0,1474.0,47036.0,99414.0,60354.0,372.0,108735.0,683317.0,4418.0,75295.0,0.13698020902824104
279,588,887,1366,2014-08-01,13,231,1122,621,252,72,421,3552,1170797,168,106364,518744,2054984.0,1461.0,47712.0,100438.0,60304.0,380.0,109012.0,684655.0,4422.0,78190.0,0.17483108108108109
327,581,781,1287,2014-09-01,11,190,1086,535,283,75,394,3919,1174716,185,106549,518706,2061712.0,1460.0,48258.0,101204.0,59928.0,383.0,109210.0,685834.0,4427.0,81092.0,0.13651441694309774
339,504,817,1346,2014-10-01,13,224,1109,555,309,59,423,3652,1178368,200,106749,519339,2068720.0,1464.0,48356.0,100517.0,59625.0,377.0,110326.0,687023.0,4427.0,83432.0,0.15197152245345016
305,533,786,1337,2014-11-01,10,210,1117,563,277,58,439,3388,1181756,165,106914,519684,2075337.0,1459.0,47922.0,100209.0,59534.0,376.0,111467.0,688193.0,4432.0,86357.0,0.16617473435655253
333,596,783,1373,2014-12-01,9,195,1169,574,315,63,421,3776,1185532,169,107083,519236,2082274.0,1451.0,48015.0,98606.0,59514.0,380.0,112138.0,689324.0,4437.0,89427.0,0.1520127118644068
321,581,810,1404,2015-01-01,9,223,1172,602,296,53,453,3708,1189240,185,107268,520392,2089749.0,1455.0,47898.0,97135.0,59210.0,379.0,113489.0,690487.0,4439.0,92257.0,0.16235167206040993
280,516,660,1132,2015-02-01,6,183,943,475,253,53,351,3488,1192728,150,107418,520938,2095599.0,1453.0,48035.0,93926.0,58661.0,376.0,114142.0,691617.0,4451.0,94992.0,0.13618119266055045
273,569,845,1324,2015-03-01,13,208,1103,563,243,75,443,4475,1197203,192,107610,521742,2103063.0,1455.0,48224.0,92333.0,57943.0,376.0,114654.0,692772.0,4458.0,98367.0,0.12581005586592178
256,536,825,1298,2015-04-01,10,234,1054,547,239,73,439,3330,1200533,151,107761,521926,2109176.0,1452.0,48013.0,91756.0,57873.0,378.0,115625.0,693784.0,4462.0,101151.0,0.16426426426426427
307,654,847,1379,2015-05-01,9,194,1176,568,281,94,436,3332,1203865,142,107903,522454,2115066.0,1496.0,47890.0,91093.0,57902.0,361.0,116439.0,694844.0,4468.0,104010.0,0.17046818727490998
303,586,908,1391,2015-06-01,9,214,1168,659,283,84,365,4141,1208006,175,108078,522582,2122277.0,1515.0,48242.0,91052.0,58128.0,367.0,116912.0,695734.0,4470.0,107288.0,0.15914030427432987
