PDS,PSG,DRI,T_TFC_ACC,DATE,SOA_FATAL,SOA_SERIOUS,SOA_SLIGHT,VCT_VEHICLE,VCT_PDS,VCT_OBJ,VCT_NONCOL,NO_ISSUE_WARN_8_14PT,NO_ISSUE_SINCE_1984,NO_SUMMON_15PT_MORE,NO_SUMMON_SINCE_1984,NO_DRI_INCUR_PT_5YR,NO_VALID_LIC_TYPE1,NO_VALID_LIC_TYPE2,NO_VALID_LIC_TYPE3,NO_VALID_LIC_TYPE4,NO_NOVER_3YR_EXP_LIC_TYPE1,NO_NOVER_3YR_EXP_LIC_TYPE2,NO_NOVER_3YR_EXP_LIC_TYPE3,NO_OVER_3YR_EXP_LIC_TYPE1,NO_OVER_3YR_EXP_LIC_TYPE2,NO_OVER_3YR_EXP_LIC_TYPE3,VEHICLE_CLASS_CODE,CODE,NO_VALID_LEARNER,NO_VALID_FULL_LIC,NO_EXP_LEARNER,NO_EXP_NOVER_3YR,NO_EXP_OVER_3YR,ACCIDENT_RATE
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,32,17,133.0,21228,1009.0,309,1938,0.10474502854892695
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,30,10,5573.0,130816,160527.0,2487,16763,0.10474502854892695
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,3,6,0.0,214586,0.0,8173,53357,0.10474502854892695
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,1,1,52849.0,1928204,354998.0,99990,634184,0.10474502854892695
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,33,20,1587.0,43056,50721.0,501,2474,0.10474502854892695
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,9,5,3248.0,179689,50348.0,5723,48150,0.10474502854892695
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,27,2,45186.0,1332272,468623.0,68620,554870,0.10474502854892695
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,4,9,5573.0,130618,160392.0,2218,12705,0.10474502854892695
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,10,4,3241.0,184765,50039.0,6056,51727,0.10474502854892695
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,34,22,3766.0,243356,63059.0,9734,36344,0.10474502854892695
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,29,19,7324.0,101397,193643.0,4183,39569,0.10474502854892695
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,31,15,0.0,0,0.0,0,4,0.10474502854892695
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,28,18,4729.0,187087,108650.0,4940,43054,0.10474502854892695
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,7,16,642.0,30088,4019.0,238,3707,0.10474502854892695
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,6,21,0.0,10883,0.0,95,362,0.10474502854892695
322,587,767,1343,2013-01-01,7,228,1108,532,287,136,388,5079,1092776,206,102580,500628,1942463.0,1471.0,37295.0,81895.0,101171.0,462.0,93497.0,642466.0,4314.0,38069.0,2,3,3795.0,243364,72976.0,9738,62474,0.10474502854892695
