"YR_MTH","VEHICLE_CLASS_CODE","TTD_PTO_CODE","GOODS_VEHICLE_TYPE","GOV_VEHICLE_TYPE_CODE","MOTOR_CYCLE_TYPE_CODE","TAXIS_TYPE_CODE","BUS_TYPE_CODE","FUEL_TYPE_CODE","NO_REG","NO_LIC"
"201301","12","NWFB","","","","","SD","LPGAS",0,0
"201301","12","NWFB","","","","","DD","PETROL",0,0
"201301","12","KMB","","","","","DD","DIESEL",3662,3660
"201301","10","","","","","","","PETROL",2,2
"201301","9","","","","","","","DIESEL",1472,1472
"201301","1","","","","","","","DIESEL",2291,2014
"201301","3","TAX","","","","Urban","","DIESEL",1,1
"201301","2","","","","MTRI","","","OTHERS",0,0
"201301","1","","","","","","","LPGAS",0,0
"201301","1","","","","","","","OTHERS",30,27
"201301","12","LWB","","","","","SD","DIESEL",0,0
"201301","4","","","","","","DD","LPGAS",0,0
"201301","12","CTB","","","","","DD","OTHERS",0,0
"201301","3","TAX","","","","NT","","DIESEL",1,1
"201301","11","LRB","","","","","DD","LPGAS",0,0
"201301","4","","","","","","SD","OTHERS",0,0
"201301","6","","","","","","","LPGAS",211,185
"201301","11","","","","","","DD","ELECTRIC",0,0
"201301","12","LWB","","","","","DD","PETROL",0,0
"201301","3","TAX","","","","NT","","OTHERS",0,0
"201301","11","","","","","","SD","PETROL",0,0
"201301","2","","","","COMBO","","","ELECTRIC",0,0
"201301","2","","","","SOLO","","","PETROL",57395,39925
"201301","12","NWFB","","","","","SD","PETROL",0,0
"201301","12","LWB","","","","","SD","LPGAS",0,0
"201301","3","TAX","","","","Lantau","","DIESEL",0,0
"201301","2","","","","SOLO","","","LPGAS",0,0
"201301","9","","","","","","","LPGAS",2878,2876
"201301","12","NLB","","","","","DD","PETROL",0,0
"201301","3","TAX","","","","Urban","","OTHERS",0,0
"201301","4","","","","","","DD","DIESEL",58,57
"201301","5","","1","","","","","OTHERS",0,0
"201301","11","LRB","","","","","SD","ELECTRIC",0,0
"201301","2","","","","COMBO","","","PETROL",46,28
"201301","11","","","","","","SD","ELECTRIC",0,0
"201301","12","LWB","","","","","DD","ELECTRIC",0,0
"201301","2","","","","COMBO","","","OTHERS",0,0
"201301","10","","","","","","","LPGAS",606,605
"201301","12","LWB","","","","","SD","PETROL",0,0
"201301","5","","3","","","","","PETROL",0,0
"201301","12","NLB","","","","","SD","PETROL",0,0
"201301","1","","","","","","","ELECTRIC",292,287
"201301","11","LRB","","","","","SD","LPGAS",0,0
"201301","5","","2","","","","","LPGAS",0,0
"201301","6","","","","","","","OTHERS",5,4
"201301","11","","","","","","DD","DIESEL",99,99
"201301","12","LWB","","","","","DD","OTHERS",0,0
"201301","12","LWB","","","","","SD","ELECTRIC",0,0
"201301","12","CTB","","","","","SD","DIESEL",87,82
"201301","12","NLB","","","","","DD","DIESEL",0,0
"201301","12","KMB","","","","","DD","LPGAS",0,0
"201301","12","CTB","","","","","SD","PETROL",0,0
"201301","2","","","","COMBO","","","LPGAS",0,0
"201301","12","KMB","","","","","SD","LPGAS",0,0
"201301","12","NLB","","","","","DD","ELECTRIC",0,0
"201301","9","","","","","","","ELECTRIC",0,0
"201301","12","NLB","","","","","DD","LPGAS",0,0
"201301","12","NWFB","","","","","SD","DIESEL",36,36
"201301","11","","","","","","DD","LPGAS",0,0
"201301","9","","","","","","","OTHERS",0,0
"201301","12","KMB","","","","","DD","ELECTRIC",0,0
"201301","2","","","","MTRI","","","DIESEL",0,0
"201301","2","","","","SOLO","","","OTHERS",10,10
"201301","12","KMB","","","","","DD","OTHERS",0,0
"201301","11","","","","","","DD","OTHERS",0,0
"201301","11","LRB","","","","","DD","OTHERS",0,0
"201301","10","","","","","","","DIESEL",1882,1864
"201301","5","","3","","","","","ELECTRIC",0,0
"201301","12","LWB","","","","","SD","OTHERS",0,0
"201301","9","","","","","","","PETROL",0,0
"201301","12","CTB","","","","","DD","LPGAS",0,0
"201301","3","TAX","","","","Lantau","","PETROL",0,0
"201301","4","","","","","","SD","DIESEL",501,492
"201301","10","","","","","","","ELECTRIC",4,3
"201301","12","KMB","","","","","SD","ELECTRIC",1,1
"201301","12","KMB","","","","","SD","DIESEL",167,166
"201301","12","NWFB","","","","","DD","LPGAS",0,0
"201301","11","LRB","","","","","DD","DIESEL",110,109
"201301","5","","2","","","","","ELECTRIC",2,1
"201301","6","","","","","","","DIESEL",1198,1110
"201301","12","NWFB","","","","","DD","ELECTRIC",0,0
"201301","12","NLB","","","","","SD","ELECTRIC",0,0
"201301","11","LRB","","","","","DD","ELECTRIC",0,0
"201301","11","","","","","","SD","LPGAS",0,0
"201301","4","","","","","","SD","LPGAS",0,0
"201301","2","","","","SOLO","","","ELECTRIC",33,28
"201301","2","","","","COMBO","","","DIESEL",0,0
"201301","3","TAX","","","","Lantau","","ELECTRIC",0,0
"201301","5","","1","","","","","LPGAS",0,0
"201301","3","TAX","","","","NT","","LPGAS",2837,2833
"201301","12","NWFB","","","","","DD","DIESEL",673,664
"201301","3","TAX","","","","Urban","","ELECTRIC",0,0
"201301","6","","","","","","","PETROL",107,84
"201301","12","KMB","","","","","DD","PETROL",0,0
"201301","11","","","","","","DD","PETROL",0,0
"201301","12","CTB","","","","","SD","ELECTRIC",0,0
"201301","3","TAX","","","","NT","","PETROL",0,0
"201301","11","LRB","","","","","SD","PETROL",0,0
"201301","12","NLB","","","","","SD","DIESEL",108,108
"201301","4","","","","","","DD","PETROL",0,0
"201301","5","","1","","","","","PETROL",1346,1075
"201301","12","LWB","","","","","DD","LPGAS",0,0
"201301","12","KMB","","","","","SD","OTHERS",0,0
"201301","12","NLB","","","","","DD","OTHERS",0,0
"201301","2","","","","MTRI","","","LPGAS",0,0
"201301","11","","","","","","SD","DIESEL",6836,6749
"201301","5","","1","","","","","ELECTRIC",21,18
"201301","5","","3","","","","","DIESEL",4396,4294
"201301","5","","3","","","","","OTHERS",0,0
"201301","3","TAX","","","","Urban","","PETROL",5,5
"201301","3","TAX","","","","Urban","","LPGAS",15244,15243
"201301","6","","","","","","","ELECTRIC",104,90
"201301","12","CTB","","","","","DD","ELECTRIC",0,0
"201301","11","LRB","","","","","DD","PETROL",0,0
"201301","11","","","","","","SD","OTHERS",0,0
"201301","12","NWFB","","","","","SD","OTHERS",0,0
"201301","5","","2","","","","","DIESEL",39323,36884
"201301","5","","3","","","","","LPGAS",0,0
"201301","11","LRB","","","","","SD","DIESEL",8,8
"201301","12","CTB","","","","","SD","LPGAS",0,0
"201301","2","","","","SOLO","","","DIESEL",1,1
"201301","12","NLB","","","","","SD","LPGAS",0,0
"201301","12","CTB","","","","","DD","DIESEL",888,866
"201301","4","","","","","","SD","PETROL",0,0
"201301","12","NWFB","","","","","DD","OTHERS",0,0
"201301","4","","","","","","SD","ELECTRIC",1,0
"201301","11","LRB","","","","","SD","OTHERS",0,0
"201301","4","","","","","","DD","ELECTRIC",0,0
"201301","12","KMB","","","","","SD","PETROL",0,0
"201301","3","TAX","","","","Lantau","","LPGAS",50,50
"201301","5","","1","","","","","DIESEL",75091,70951
"201301","3","TAX","","","","NT","","ELECTRIC",0,0
"201301","10","","","","","","","OTHERS",0,0
"201301","2","","","","MTRI","","","PETROL",55,37
"201301","12","NWFB","","","","","SD","ELECTRIC",0,0
"201301","3","TAX","","","","Lantau","","OTHERS",0,0
"201301","12","NLB","","","","","SD","OTHERS",0,0
"201301","5","","2","","","","","PETROL",0,0
"201301","12","LWB","","","","","DD","DIESEL",168,166
"201301","12","CTB","","","","","SD","OTHERS",0,0
"201301","1","","","","","","","PETROL",494222,455242
"201301","5","","2","","","","","OTHERS",0,0
"201301","4","","","","","","DD","OTHERS",0,0
"201301","2","","","","MTRI","","","ELECTRIC",0,0
"201301","12","CTB","","","","","DD","PETROL",0,0
"201302","10","","","","","","","LPGAS",613,612
"201302","3","TAX","","","","Lantau","","OTHERS",0,0
"201302","12","NWFB","","","","","DD","DIESEL",678,669
"201302","12","LWB","","","","","SD","LPGAS",0,0
"201302","12","CTB","","","","","DD","PETROL",0,0
"201302","12","KMB","","","","","SD","LPGAS",0,0
"201302","5","","1","","","","","ELECTRIC",21,19
"201302","1","","","","","","","ELECTRIC",297,292
"201302","6","","","","","","","DIESEL",1199,1110
"201302","3","TAX","","","","Urban","","DIESEL",1,1
"201302","9","","","","","","","DIESEL",1473,1473
"201302","12","NWFB","","","","","DD","LPGAS",0,0
"201302","11","LRB","","","","","SD","DIESEL",8,8
"201302","12","KMB","","","","","DD","ELECTRIC",0,0
"201302","12","NWFB","","","","","SD","PETROL",0,0
"201302","2","","","","MTRI","","","DIESEL",0,0
"201302","11","LRB","","","","","DD","DIESEL",110,109
"201302","11","","","","","","DD","PETROL",0,0
"201302","4","","","","","","DD","OTHERS",0,0
"201302","12","NWFB","","","","","SD","DIESEL",36,36
"201302","12","CTB","","","","","SD","ELECTRIC",0,0
"201302","3","TAX","","","","NT","","OTHERS",0,0
