"YR_MTH","DRI_LICENSE_HOLDER_TYPE_CODE","NO_VALID_LIC","NO_NOVER_3YR_EXP_LIC","NO_OVER_3YR_EXP_LIC","EXP_LIC"
"201301","2",1471,462,4314,
"201301","3",37295,93497,38069,
"201301","1",1942463,101171,642466,
"201301","4",81895,,,1533624
"201302","1",1948970,95038,647014,
"201302","2",1466,470,4318,
"201302","4",80846,,,1538546
"201302","3",36587,96248,38299,
"201303","3",36303,99015,38743,
"201303","4",82059,,,1542731
"201303","1",1955697,88190,652866,
"201303","2",1466,468,4326,
"201304","2",1468,462,4331,
"201304","3",36490,100566,39713,
"201304","1",1962231,84759,655360,
"201304","4",83151,,,1546304
"201305","4",83856,,,1551175
"201305","2",1458,458,4339,
"201305","3",36647,102025,41158,
"201305","1",1968469,81531,658029,
"201306","3",37181,102782,42929,
"201306","1",1973983,78959,660354,
"201306","2",1469,446,4342,
"201306","4",84930,,,1555495
"201307","4",87639,,,1558745
"201307","2",1475,437,4350,
"201307","1",1980526,76429,662571,
"201307","3",37778,103588,45075,
"201308","1",1986781,74162,664805,
"201308","2",1467,439,4356,
"201308","3",37684,104905,47110,
"201308","4",88372,,,1562871
"201309","4",89961,,,1566014
"201309","2",1462,434,4361,
"201309","3",38086,105291,49466,
"201309","1",1992751,72384,666637,
"201310","4",92287,,,1569113
"201310","3",38876,105543,51922,
"201310","2",1456,437,4366,
"201310","1",1998797,70427,668438,
"201311","4",93362,,,1572650
"201311","1",2004942,68683,670183,
"201311","2",1453,430,4375,
"201311","3",39757,106620,54096,
"201312","3",40559,107019,56712,
"201312","2",1452,422,4376,
"201312","4",95250,,,1574653
"201312","1",2010715,66960,672029,
"201401","3",41960,107282,59239,
"201401","2",1462,408,4382,
"201401","4",95890,,,1578561
"201401","1",2016921,65116,673938,
"201402","2",1475,386,4392,
"201402","1",2021438,63388,676028,
"201402","3",43175,107078,61697,
"201402","4",97754,,,1581728
"201403","3",44126,106962,64766,
"201403","1",2026814,62161,678068,
"201403","2",1476,379,4398,
"201403","4",98204,,,1586829
"201404","3",45210,107300,67151,
"201404","4",98313,,,1591450
"201404","2",1473,376,4401,
"201404","1",2031918,61599,679320,
"201405","3",45802,107388,70098,
"201405","2",1465,379,4408,
"201405","4",98027,,,1597042
"201405","1",2037360,60800,680834,
"201406","3",46541,107694,72808,
"201406","4",98781,,,1601956
"201406","1",2042920,60549,682117,
"201406","2",1463,376,4415,
"201407","3",47036,108735,75295,
"201407","1",2049177,60354,683317,
"201407","2",1474,372,4418,
"201407","4",99414,,,1607706
"201408","3",47712,109012,78190,
"201408","4",100438,,,1612220
"201408","2",1461,380,4422,
"201408","1",2054984,60304,684655,
"201409","2",1460,383,4427,
"201409","4",101204,,,1616751
"201409","1",2061712,59928,685834,
"201409","3",48258,109210,81092,
"201410","2",1464,377,4427,
"201410","4",100517,,,1622349
"201410","1",2068720,59625,687023,
"201410","3",48356,110326,83432,
"201411","3",47922,111467,86357,
"201411","2",1459,376,4432,
"201411","1",2075337,59534,688193,
"201411","4",100209,,,1626847
"201412","3",48015,112138,89427,
"201412","4",98606,,,1630621
"201412","1",2082274,59514,689324,
"201412","2",1451,380,4437,
"201501","2",1455,379,4439,
"201501","3",47898,113489,92257,
"201501","1",2089749,59210,690487,
"201501","4",97135,,,1634718
"201502","4",93926,,,1640042
"201502","2",1453,376,4451,
"201502","1",2095599,58661,691617,
"201502","3",48035,114142,94992,
"201503","1",2103063,57943,692772,
"201503","2",1455,376,4458,
"201503","3",48224,114654,98367,
"201503","4",92333,,,1644894
"201504","4",91756,,,1648952
"201504","3",48013,115625,101151,
"201504","2",1452,378,4462,
"201504","1",2109176,57873,693784,
"201505","2",1496,361,4468,
"201505","4",91093,,,1653832
"201505","3",47890,116439,104010,
"201505","1",2115066,57902,694844,
"201506","2",1515,367,4470,
"201506","1",2122277,58128,695734,
"201506","4",91052,,,1659142
"201506","3",48242,116912,107288,
"201507","1",2129388,58083,696784,
"201507","4",90492,,,1665381
"201507","2",1542,351,4474,
"201507","3",48121,118014,110202,
"201508","2",1563,349,4477,
"201508","1",2135760,58468,697856,
"201508","4",90420,,,1670464
"201508","3",47917,118630,113429,
"201509","3",47971,119296,116411,
"201509","4",90083,,,1675384
"201509","1",2142138,58725,698889,
"201509","2",1568,360,4478,
"201510","4",89682,,,1680014
