"YR_MTH","VEHICLE_CLASS_CODE","CODE","NO_VALID_LEARNER","NO_VALID_FULL_LIC","NO_EXP_LEARNER","NO_EXP_NOVER_3YR","NO_EXP_OVER_3YR"
"201301","32","17",133,21228,1009,309,1938
"201301","6","21",0,10883,0,95,362
"201301","7","16",642,30088,4019,238,3707
"201301","28","18",4729,187087,108650,4940,43054
"201301","31","15",0,0,0,0,4
"201301","29","19",7324,101397,193643,4183,39569
"201301","34","22",3766,243356,63059,9734,36344
"201301","2","3",3795,243364,72976,9738,62474
"201301","4","9",5573,130618,160392,2218,12705
"201301","27","2",45186,1332272,468623,68620,554870
"201301","9","5",3248,179689,50348,5723,48150
"201301","10","4",3241,184765,50039,6056,51727
"201301","33","20",1587,43056,50721,501,2474
"201301","1","1",52849,1928204,354998,99990,634184
"201301","3","6",0,214586,0,8173,53357
"201301","30","10",5573,130816,160527,2487,16763
"201302","29","19",7201,101457,193992,3998,39808
"201302","27","2",45149,1335818,470307,63949,558394
"201302","34","22",3718,244063,63142,9312,36735
"201302","28","18",4676,187287,108820,4667,43350
"201302","9","5",3179,179874,50484,5411,48481
"201302","2","3",3748,244069,73057,9316,62860
"201302","7","16",626,30151,4035,194,3734
"201302","31","15",0,0,0,0,4
"201302","32","17",146,21280,1016,279,1970
"201302","4","9",5501,130830,160632,2041,12870
"201302","10","4",3173,184950,50175,5725,52074
"201302","30","10",5501,131026,160767,2310,16930
"201302","33","20",1543,43085,50811,474,2512
"201302","3","6",0,214829,0,7542,53893
"201302","1","1",53320,1934699,356098,93882,638709
"201302","6","21",0,10917,0,90,369
"201303","34","22",3844,244929,63234,8820,37256
"201303","4","9",5541,131109,160867,1902,13036
"201303","1","1",54697,1941385,356932,87093,644507
"201303","9","5",3121,180138,50627,5050,48892
"201303","6","21",0,10984,0,86,375
"201303","27","2",45922,1339293,471652,58936,562722
"201303","3","6",0,215041,0,6875,54516
"201303","31","15",0,0,0,0,4
"201303","32","17",134,21391,1022,248,2010
"201303","28","18",4664,187531,109043,4357,43714
"201303","10","4",3116,185210,50317,5342,52510
"201303","33","20",1554,43137,50865,421,2573
"201303","2","3",3875,244935,73147,8824,63381
"201303","29","19",7190,101544,194357,3775,40096
"201303","30","10",5541,131298,161002,2167,17107
"201303","7","16",622,30203,4033,161,3758
"201304","28","18",4625,187753,109254,4238,43883
"201304","29","19",7147,101613,194714,3701,40233
"201304","7","16",604,30273,4047,144,3769
"201304","6","21",0,11046,0,86,377
"201304","10","4",3114,185463,50406,5210,52685
"201304","33","20",1563,43192,50932,390,2611
"201304","32","17",142,21491,1030,231,2023
"201304","34","22",3959,245857,63311,8524,37504
"201304","30","10",5541,131576,161210,2096,17191
"201304","2","3",3993,245863,73221,8527,63629
"201304","4","9",5541,131393,161075,1830,13115
"201304","27","2",46667,1342594,472710,56452,564513
"201304","1","1",55858,1947879,357575,83690,646984
"201304","31","15",0,0,0,0,4
"201304","3","6",0,215299,0,6622,54742
"201304","9","5",3119,180389,50717,4940,49047
"201305","29","19",7083,101705,195108,3620,40384
"201305","1","1",57042,1954096,358771,80497,649632
"201305","32","17",133,21573,1036,219,2039
"201305","4","9",5534,131660,161324,1786,13187
"201305","33","20",1544,43251,51012,370,2643
"201305","3","6",0,215501,0,6404,54961
"201305","6","21",0,11111,0,82,378
"201305","9","5",3140,180621,50850,4838,49217
"201305","2","3",4016,246763,73308,8236,63904
"201305","27","2",47421,1345729,474368,54185,566368
"201305","34","22",3980,246757,63400,8233,37786
"201305","30","10",5534,131844,161459,2043,17271
"201305","28","18",4616,187975,109464,4130,44064
"201305","10","4",3137,185693,50538,5096,52867
"201305","31","15",0,0,0,0,4
"201305","7","16",616,30323,4058,133,3776
"201306","7","16",662,30334,4071,119,3786
"201306","27","2",48179,1348504,475843,52271,568028
"201306","29","19",7026,101765,195419,3574,40513
"201306","32","17",141,21659,1039,209,2047
"201306","2","3",4092,247572,73396,8012,64166
"201306","1","1",58290,1959588,359728,77945,651943
"201306","34","22",4057,247566,63486,8009,38049
"201306","10","4",3121,185883,50672,4984,53063
"201306","30","10",5532,132070,161644,2013,17341
"201306","9","5",3127,180811,50982,4740,49399
"201306","3","6",0,215649,0,6219,55178
"201306","33","20",1548,43305,51072,364,2655
"201306","28","18",4580,188151,109649,4056,44212
"201306","6","21",0,11183,0,80,378
"201306","4","9",5532,131891,161509,1758,13250
"201306","31","15",0,0,0,0,4
"201307","27","2",49580,1351576,476765,50540,569579
"201307","29","19",7094,101870,195640,3553,40602
"201307","6","21",0,11242,0,78,380
"201307","31","15",0,0,0,0,4
"201307","28","18",4613,188367,109785,4027,44317
"201307","2","3",4342,248440,73446,7841,64364
"201307","3","6",0,215816,0,6073,55364
"201307","7","16",586,30409,4117,108,3790
"201307","30","10",5597,132381,161766,1973,17398
"201307","10","4",3195,186143,50739,4919,53201
"201307","33","20",1573,43372,51118,358,2662
"201307","4","9",5597,132204,161632,1719,13304
"201307","32","17",132,21746,1043,207,2056
"201307","1","1",60258,1966112,360017,75442,654137
"201307","9","5",3199,181076,51050,4680,49529
"201307","34","22",4306,248433,63537,7838,38251
"201308","1","1",61189,1972357,360596,73191,656359
"201308","10","4",3114,186364,50894,4867,53355
"201308","31","15",0,0,0,0,4
"201308","29","19",6936,101921,196034,3542,40703
"201308","7","16",581,30461,4145,94,3796
"201308","32","17",103,21832,1049,202,2065
"201308","2","3",4329,249256,73522,7650,64595
"201308","6","21",0,11289,0,81,381
"201308","9","5",3118,181301,51205,4634,49673
"201308","33","20",1535,43409,51206,370,2672
"201308","3","6",0,215980,0,5910,55568
"201308","4","9",5463,132473,161896,1714,13344
"201308","27","2",50108,1354522,477896,48900,571220
"201308","30","10",5463,132643,162030,1969,17444
"201308","34","22",4292,249249,63615,7647,38484
"201308","28","18",4471,188555,110018,4012,44433
"201309","30","10",5395,132860,162239,1973,17481
"201309","33","20",1539,43459,51262,373,2682
"201309","34","22",4419,250057,63699,7495,38710
"201309","2","3",4455,250064,73608,7498,64820
"201309","28","18",4415,188714,110195,4000,44535
"201309","29","19",6860,101979,196340,3534,40792
"201309","3","6",0,216132,0,5779,55738
"201309","27","2",51051,1357278,478598,47703,572488
"201309","10","4",3050,186523,51024,4843,53478
"201309","31","15",0,0,0,0,4
"201309","4","9",5395,132693,162105,1723,13373
"201309","1","1",62309,1978313,360935,71430,658170
"201309","9","5",3052,181465,51335,4619,49785
"201309","7","16",563,30525,4185,88,3799
"201309","32","17",107,21880,1054,197,2070
"201309","6","21",0,11334,0,79,382
"201310","27","2",52459,1359993,479179,46378,573753
"201310","4","9",5433,132927,162305,1726,13419
"201310","29","19",6896,102051,196618,3527,40892
"201310","7","16",579,30589,4184,80,3803
"201310","6","21",0,11401,0,82,383
"201310","30","10",5433,133089,162439,1977,17531
"201310","32","17",93,21943,1056,195,2077
"201310","3","6",0,216246,0,5671,55912
"201310","31","15",0,0,0,0,4
"201310","33","20",1509,43516,51339,369,2697
"201310","1","1",63973,1984342,361022,69499,659944
"201310","34","22",4677,250976,63741,7354,38911
"201310","2","3",4717,250983,73642,7357,65018
"201310","9","5",3104,181647,51447,4596,49920
"201310","28","18",4472,188881,110358,3977,44652
"201310","10","4",3102,186698,51136,4815,53621
"201311","28","18",4470,189067,110496,3983,44756
"201311","27","2",52361,1362654,480110,45182,575010
"201311","2","3",4774,251911,73695,7219,65206
"201311","32","17",105,21978,1060,204,2081
"201311","6","21",0,11439,0,81,384
"201311","1","1",63809,1990478,361587,67771,661673
"201311","30","10",5458,133293,162624,1981,17576
"201311","4","9",5458,133140,162490,1729,13456
"201311","33","20",1522,43570,51374,383,2705
"201311","9","5",3117,181799,51531,4596,50031
"201311","10","4",3115,186848,51220,4806,53742
"201311","34","22",4737,251904,63791,7216,39101
"201311","3","6",0,216431,0,5542,56110
"201311","31","15",0,0,0,0,4
"201311","7","16",590,30658,4202,74,3808
"201311","29","19",6903,102132,196854,3539,40986
"201312","32","17",117,22038,1065,204,2086
"201312","34","22",4790,252683,63828,7091,39287
"201312","3","6",0,216622,0,5404,56280
"201312","30","10",5470,133534,162732,1988,17617
"201312","10","4",3096,187042,51276,4797,53860
"201312","27","2",52690,1365337,480455,43925,576291
"201312","7","16",688,30723,4189,69,3808
"201312","1","1",63914,1996261,361511,66046,663502
"201312","29","19",6949,102200,197011,3564,41065
"201312","28","18",4474,189249,110582,3997,44844
"201312","4","9",5470,133384,162598,1737,13493
"201312","9","5",3099,181992,51587,4591,50146
"201312","2","3",4826,252690,73733,7094,65391
"201312","31","15",0,0,0,0,4
"201312","33","20",1527,43644,51394,394,2708
"201312","6","21",0,11510,0,79,385
"201401","7","16",681,30789,4207,61,3812
"201401","3","6",0,216772,0,5283,56453
"201401","34","22",4733,253459,63917,7087,39464
"201401","6","21",0,11628,0,76,388
"201401","30","10",5409,133781,162972,1981,17666
"201401","31","15",0,0,0,0,4
"201401","9","5",3061,182202,51688,4587,50245
"201401","33","20",1477,43712,51468,388,2720
"201401","29","19",6906,102284,197311,3565,41144
"201401","4","9",5408,133637,162838,1731,13536
"201401","1","1",63720,2002468,361994,64224,665383
"201401","32","17",89,22098,1074,206,2091
"201401","10","4",3057,187247,51377,4789,53967
"201401","27","2",52784,1368186,481296,42593,577646
"201401","28","18",4431,189484,110737,3981,44934
