"YR_MTH","VEHICLE_CLASS_CODE","CODE","NO_PROBAT_NEW_ISSUE","NO_PROBAT_ENDORSE"
"201301","1","1",2691,8
"201301","27","2",1644,6
"201301","2","3",229,22
"201301","34","22",229,22
"201302","27","2",1217,5
"201302","34","22",194,11
"201302","1","1",2163,6
"201302","2","3",194,11
"201303","27","2",1721,6
"201303","34","22",247,19
"201303","1","1",2814,7
"201303","2","3",247,19
"201304","2","3",173,15
"201304","1","1",2629,6
"201304","34","22",173,15
"201304","27","2",1636,9
"201305","2","3",245,9
"201305","27","2",1693,8
"201305","34","22",245,9
"201305","1","1",2937,9
"201306","1","1",2938,9
"201306","2","3",219,10
"201306","27","2",1684,8
"201306","34","22",219,10
"201307","34","22",270,17
"201307","27","2",1879,9
"201307","1","1",3401,13
"201307","2","3",270,17
"201308","27","2",1827,6
"201308","2","3",206,13
"201308","34","22",206,13
"201308","1","1",3148,5
"201309","27","2",1714,13
"201309","2","3",236,14
"201309","34","22",236,14
"201309","1","1",3010,12
"201310","27","2",1919,11
"201310","1","1",3336,12
"201310","2","3",301,15
"201310","34","22",301,15
"201311","1","1",3956,12
"201311","2","3",327,28
"201311","27","2",2467,11
"201311","34","22",327,28
"201312","34","22",335,22
"201312","1","1",3625,6
"201312","2","3",335,22
"201312","27","2",2159,5
"201401","34","22",351,28
"201401","27","2",2337,7
"201401","2","3",351,28
"201401","1","1",3985,8
"201402","1","1",3334,12
"201402","27","2",1976,12
"201402","2","3",248,16
"201402","34","22",248,16
"201403","34","22",307,17
"201403","2","3",307,17
"201403","27","2",2308,19
"201403","1","1",3733,16
"201404","1","1",3672,9
"201404","27","2",2246,7
"201404","2","3",264,15
"201404","34","22",264,15
"201405","1","1",3501,15
"201405","27","2",1993,10
"201405","34","22",256,15
"201405","2","3",256,15
"201406","2","3",331,21
"201406","34","22",331,21
"201406","1","1",3553,14
"201406","27","2",2067,12
"201407","1","1",3876,14
"201407","27","2",2213,16
"201407","2","3",276,22
"201407","34","22",276,22
"201408","27","2",2078,13
"201408","1","1",3679,16
"201408","34","22",308,23
"201408","2","3",308,23
"201409","1","1",3529,11
"201409","34","22",252,28
"201409","27","2",1975,9
"201409","2","3",252,28
"201410","1","1",3336,9
"201410","27","2",1851,9
"201410","34","22",353,23
"201410","2","3",353,23
"201411","2","3",323,16
"201411","1","1",3459,14
"201411","34","22",323,16
"201411","27","2",2014,13
"201412","1","1",3742,15
"201412","2","3",257,16
"201412","34","22",257,16
"201412","27","2",2105,13
"201501","27","2",2268,11
"201501","34","22",282,22
"201501","2","3",282,22
"201501","1","1",3924,14
"201502","34","22",275,17
"201502","2","3",275,17
"201502","1","1",3416,13
"201502","27","2",2010,14
"201503","1","1",3926,15
"201503","27","2",2138,13
"201503","34","22",305,14
"201503","2","3",305,14
"201504","2","3",298,7
"201504","1","1",3384,12
"201504","34","22",298,7
"201504","27","2",1889,12
"201505","1","1",3446,14
"201505","27","2",1933,10
"201505","34","22",233,11
"201505","2","3",233,11
"201506","34","22",267,19
"201506","27","2",2271,10
"201506","2","3",267,19
"201506","1","1",3971,12
"201507","1","1",3801,18
"201507","34","22",248,11
"201507","2","3",248,11
"201507","27","2",2115,14
"201508","1","1",3516,12
"201508","34","22",240,11
"201508","27","2",1909,8
"201508","2","3",240,11
"201509","1","1",3556,12
"201509","34","22",306,18
"201509","27","2",1975,11
"201509","2","3",306,18
"201510","1","1",3165,8
"201510","2","3",277,21
"201510","34","22",277,21
"201510","27","2",1731,9
"201511","2","3",318,23
"201511","1","1",3735,17
"201511","27","2",2117,12
"201511","34","22",318,23
"201512","2","3",359,30
"201512","27","2",2428,15
"201512","1","1",4308,19
"201512","34","22",359,30
"201601","2","3",283,18
"201601","34","22",283,18
"201601","27","2",2011,10
"201601","1","1",3659,13
"201602","2","3",236,18
"201602","34","22",236,18
"201602","27","2",1953,13
"201602","1","1",3494,11
"201603","27","2",2254,11
"201603","2","3",318,18
"201603","34","22",318,18
"201603","1","1",3924,12
"201604","2","3",252,20
"201604","1","1",4065,9
"201604","27","2",2358,12
"201604","34","22",252,20
"201605","34","22",331,17
"201605","2","3",331,17
"201605","27","2",2723,16
"201605","1","1",4906,16
"201606","27","2",2717,13
"201606","34","22",375,20
"201606","1","1",4811,13
"201606","2","3",375,20
"201607","1","1",4148,12
"201607","27","2",2289,15
"201607","2","3",343,17
"201607","34","22",343,17
"201608","27","2",2381,19
"201608","2","3",379,21
"201608","1","1",4370,20
"201608","34","22",379,21
"201609","34","22",301,25
"201609","2","3",301,25
"201609","1","1",3752,14
"201609","27","2",2096,13
"201610","27","2",1983,13
"201610","34","22",328,28
"201610","1","1",3530,10
"201610","2","3",328,28
"201611","34","22",274,26
"201611","1","1",4153,14
"201611","2","3",274,26
"201611","27","2",2330,13
"201612","1","1",3834,15
"201612","2","3",303,13
"201612","27","2",2050,12
"201612","34","22",303,13
"201701","1","1",3613,13
