"YR_MTH","NO_ISSUE_WARN_8_14PT","NO_ISSUE_SINCE_1984","NO_SUMMON_15PT_MORE","NO_SUMMON_SINCE_1984","NO_DRI_INCUR_PT_5YR"
"201301",5079,1092776,206,102580,500628
"201302",3548,1096324,173,102753,500072
"201303",4128,1100452,194,102947,501473
"201304",3385,1103837,159,103106,501629
"201305",5027,1108864,242,103348,503167
"201306",3970,1112834,178,103526,504999
"201307",4688,1117522,247,103773,505412
"201308",3738,1121260,182,103955,506126
"201309",3451,1124711,197,104152,506573
"201310",4834,1129545,218,104370,507275
"201311",4052,1133597,207,104577,508249
"201312",4663,1138260,223,104800,508434
"201401",4432,1142692,213,105013,510228
"201402",4098,1146790,193,105206,511975
"201403",4576,1151366,206,105412,514945
"201404",4116,1155482,210,105622,515083
"201405",3685,1159167,187,105809,515888
"201406",3581,1162748,166,105975,516831
"201407",4497,1167245,221,106196,517713
"201408",3552,1170797,168,106364,518744
"201409",3919,1174716,185,106549,518706
"201410",3652,1178368,200,106749,519339
"201411",3388,1181756,165,106914,519684
"201412",3776,1185532,169,107083,519236
"201501",3708,1189240,185,107268,520392
"201502",3488,1192728,150,107418,520938
"201503",4475,1197203,192,107610,521742
"201504",3330,1200533,151,107761,521926
"201505",3332,1203865,142,107903,522454
"201506",4141,1208006,175,108078,522582
"201507",3350,1211356,161,108239,523204
"201508",3607,1214963,186,108425,524241
"201509",4019,1218982,184,108609,524391
"201510",3500,1222482,140,108749,524928
"201511",3915,1226397,168,108917,526120
"201512",4370,1230767,165,109082,526901
"201601",3658,1234425,160,109242,526896
"201602",2965,1237390,135,109377,526100
"201603",3912,1241302,188,109565,526608
"201604",3324,1244626,160,109725,526869
"201605",4383,1249009,202,109927,527664
"201606",3130,1252139,153,110080,527693
"201607",3312,1255451,147,110227,528313
"201608",3605,1259056,138,110365,528507
"201609",3102,1262158,182,110547,529108
"201610",3401,1265559,153,110700,530112
"201611",4938,1270497,226,110926,531942
"201612",3555,1274052,150,111076,531435
"201701",3829,1277881,179,111255,532169
"201702",3550,1281431,160,111415,532533
"201703",5051,1286482,235,111650,533237
"201704",3231,1289713,170,111820,532407
"201705",4376,1294089,215,112035,532717
"201706",3827,1297916,180,112215,533807
"201707",3795,1301711,201,112416,534354
"201708",4666,1306377,228,112644,534268
"201709",3783,1310160,211,112855,534198
"201710",3459,1313619,180,113035,533455
"201711",4566,1318185,229,113264,533484
"201712",3361,1321546,171,113435,532730
"201801",4804,1326350,245,113680,533413
"201802",3534,1329884,148,113828,533319
"201803",3519,1333403,183,114011,533305
"201804",3627,1337030,189,114200,532629
"201805",4992,1342022,251,114451,533243
"201806",3511,1345533,163,114614,533278
"201807",3340,1348873,171,114785,533149
"201808",4242,1353115,246,115031,532533
"201809",3439,1356554,179,115210,531860
"201810",4479,1361033,228,115438,531296
"201811",3914,1364947,196,115634,530981
"201812",3704,1368651,194,115828,530196
"201901",4746,1373397,241,116069,529392
"201902",3358,1376755,204,116273,528872
"201903",4251,1381006,204,116477,529969
"201904",3622,1384628,186,116663,530274
"201905",4348,1388976,237,116900,530595
"201906",3311,1392287,200,117100,529883
"201907",2978,1395265,189,117289,529266
"201908",3574,1398839,199,117488,528207
"201909",2717,1401556,160,117648,526791
"201910",3268,1404824,198,117846,525851
"201911",2837,1407661,168,118014,525424
"201912",2759,1410420,133,118147,524813
"202001",3366,1413786,166,118313,523441
"202002",2338,1416124,61,118374,522281
"202003",3290,1419414,89,118463,524088
"202004",3539,1422953,121,118584,523792
"202005",4065,1427018,201,118785,525610
